AgeuponOutcome,AnimalType,Breed,Color,DateTime,Name,SexuponOutcome,OutcomeType
1,0,0,0,1392229320,1,0,Return_to_owner
1,1,1,1,1381668240,1,1,Euthanasia
2,0,2,2,1422707280,1,0,Adoption
0.057692307692308,1,1,3,1405105740,0,2,Transfer
2,0,3,4,1384519920,0,0,Transfer
0.083333333333333,0,4,5,1398431040,1,3,Transfer
0.057692307692308,1,1,6,1427548260,1,2,Transfer
0.057692307692308,1,1,7,1430413320,0,4,Transfer
0.41666666666667,0,5,8,1391534220,1,1,Adoption
1,0,6,9,1399103280,0,1,Adoption
2,1,1,10,1386258600,0,4,Transfer
2,0,7,11,1383576480,0,1,Adoption
4,0,2,12,1454498820,1,0,Adoption
2,0,8,13,1433781000,1,0,Return_to_owner
1,0,9,14,1448463600,1,0,Return_to_owner
0.25,1,1,15,1405167000,1,0,Adoption
0.057692307692308,1,1,7,1399133700,0,2,Transfer
0.038461538461538,0,2,0,1402145640,0,3,Transfer
2,1,10,9,1400326320,1,3,Transfer
1,0,11,10,1406741640,1,0,Return_to_owner
0.16666666666667,0,12,16,1390143780,1,2,Transfer
1,1,1,9,1442589540,1,1,Transfer
2,0,13,17,1439648520,1,1,Adoption
0.83333333333333,0,14,0,1382977920,1,0,Adoption
0.16666666666667,0,14,18,1397065440,1,0,Return_to_owner
0.083333333333333,1,1,19,1443887040,1,3,Transfer
0.5,0,15,20,1452879060,1,1,Adoption
5,0,16,21,1427309400,1,1,Adoption
0.16666666666667,1,1,22,1448110860,1,1,Adoption
7,1,17,23,1438266600,1,0,Return_to_owner
3,1,1,24,1451656620,0,1,Euthanasia
0.33333333333333,0,18,16,1436973900,1,2,Transfer
0.16666666666667,1,1,25,1404406860,0,1,Adoption
5,0,19,26,1383917040,1,0,Return_to_owner
3,0,16,12,1428768060,1,0,Transfer
3,0,18,27,1386341700,0,2,Euthanasia
3,0,2,0,1382613720,1,0,Return_to_owner
0.16666666666667,1,1,2,1404308220,0,2,Transfer
0.33333333333333,1,1,16,1439251200,1,0,Transfer
0.057692307692308,1,1,7,1436876160,0,2,Transfer
7,1,1,6,1428168360,1,1,Adoption
0.16666666666667,1,1,19,1435065900,0,2,Transfer
0.16666666666667,1,1,7,1386601440,1,3,Transfer
4,1,20,16,1390317300,0,2,Transfer
2,1,1,16,1401292320,1,0,Adoption
12,0,21,28,1409125800,1,0,Return_to_owner
9,1,1,29,1407237300,1,1,Return_to_owner
0.057692307692308,1,1,10,1430826360,0,3,Transfer
0.41666666666667,0,14,18,1425923820,1,1,Adoption
6,0,22,20,1383147420,0,2,Euthanasia
1,1,1,30,1406538000,0,3,Transfer
0.25,1,1,7,1445281080,1,1,Adoption
0.057692307692308,1,1,31,1403802960,0,3,Transfer
2,0,23,32,1431605220,1,0,Adoption
0.16666666666667,1,1,15,1416326700,1,1,Adoption
0.019230769230769,1,1,10,1443970920,0,2,Transfer
0.16666666666667,1,1,24,1439733120,1,1,Adoption
1,0,16,4,1405700580,0,2,Transfer
4,0,24,33,1410876300,1,1,Return_to_owner
2,0,25,0,1404736680,1,0,Adoption
1,1,1,15,1439991120,1,2,Transfer
11,0,8,26,1399658820,1,1,Euthanasia
0.083333333333333,1,1,10,1444144020,1,3,Transfer
2,0,26,34,1443008700,1,1,Adoption
0.038461538461538,1,1,10,1405618260,0,4,Transfer
6,0,27,9,1445970720,1,1,Return_to_owner
0.5,0,28,16,1418053980,1,0,Transfer
0.16666666666667,0,29,35,1441726260,1,3,Transfer
0.16666666666667,1,1,36,1434445200,0,4,Transfer
1,0,16,37,1399745880,1,1,Adoption
0.16666666666667,0,30,12,1398880500,1,0,Adoption
2,0,2,17,1454079180,1,0,Transfer
3,0,31,9,1395771300,0,1,Adoption
1,1,1,10,1439897520,1,3,Return_to_owner
4,0,8,38,1388247420,1,1,Return_to_owner
2,0,32,4,1439994480,1,1,Transfer
0.25,1,33,7,1403457720,1,1,Adoption
1,1,1,24,1395421740,0,3,Euthanasia
0.16666666666667,0,34,10,1433693220,1,0,Adoption
2,1,1,16,1450640280,0,1,Transfer
1,0,35,9,1450354200,1,0,Adoption
0.038461538461538,1,1,6,1442923800,0,4,Euthanasia
0.076923076923077,1,36,39,1433012160,1,4,Transfer
2,1,1,6,1444640400,0,2,Transfer
12,0,2,40,1423502220,1,0,Euthanasia
1,0,25,0,1410720660,0,0,Adoption
0.16666666666667,1,1,10,1437233820,1,0,Adoption
0.038461538461538,1,1,10,1436886240,0,2,Transfer
0.25,0,18,16,1398535200,0,3,Transfer
0.25,1,37,24,1384790160,0,1,Adoption
0.41666666666667,0,38,17,1450188960,1,0,Adoption
3,0,39,10,1454856840,1,1,Adoption
7,0,40,29,1397130540,1,1,Transfer
2,0,14,5,1423248960,1,1,Euthanasia
0.33333333333333,1,1,10,1419865860,1,1,Adoption
9,0,41,41,1447596360,1,1,Adoption
0.58333333333333,0,42,16,1449414720,1,0,Transfer
0.16666666666667,1,1,16,1405366080,0,0,Adoption
3,1,1,16,1414141200,0,2,Transfer
3,0,43,42,1421252280,0,0,Adoption
5,0,16,34,1401385380,1,0,Adoption
5,0,44,17,1453982700,1,0,Transfer
0.038461538461538,1,37,23,1381924200,0,3,Transfer
0.038461538461538,1,1,10,1437921600,0,4,Transfer
4,1,1,25,1391092860,1,1,Transfer
4,0,45,34,1428516360,1,0,Return_to_owner
0.16666666666667,1,1,7,1437330420,1,0,Adoption
2,0,16,5,1387540920,1,1,Return_to_owner
2,0,46,9,1395600180,1,0,Adoption
9,0,26,18,1396092360,1,0,Return_to_owner
5,0,47,28,1392142560,1,0,Return_to_owner
1,0,48,43,1386348780,1,0,Euthanasia
2,0,2,44,1382287020,1,1,Adoption
0.057692307692308,1,1,7,1399391940,0,2,Transfer
0.41666666666667,0,2,41,1436197680,1,2,Transfer
6,1,1,19,1422289380,0,2,Euthanasia
1,0,16,4,1395502680,1,1,Adoption
0.25,0,16,16,1446681600,1,2,Transfer
0.083333333333333,1,20,24,1445711340,1,3,Transfer
3,0,16,12,1430672340,1,1,Return_to_owner
5,0,26,10,1397494800,1,0,Return_to_owner
8,0,49,10,1401103320,1,0,Adoption
0.16666666666667,0,18,16,1411308900,0,1,Adoption
7,1,1,30,1415966220,0,3,Euthanasia
0.16666666666667,1,1,10,1412361780,1,3,Adoption
5,0,50,10,1410454980,1,0,Adoption
1,0,2,41,1454260920,1,0,Adoption
0.25,1,1,7,1408870800,0,2,Transfer
2,0,16,0,1427049600,1,0,Return_to_owner
9,0,18,20,1422184500,1,1,Return_to_owner
3,0,2,8,1445534280,1,1,Adoption
3,1,1,24,1445884740,1,1,Return_to_owner
1,0,51,16,1452866580,1,1,Adoption
2,0,16,5,1420817280,1,1,Transfer
